"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"21",21,"100905A",100905,1071,9.3,2.8,"FRAM2","standing dead","Snag","Snag",2,4,3,NA,38.4,NA,59,59,54.5,54.2,NA,NA,NA,NA,NA,NA,5,NA,"snag","snag","snag",2,2
"22",22,"100953A",100953,1072,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"23",23,"101029A",101029,1066,NA,NA,"ACRU","standing dead",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"24",24,"10117A",10117,114,NA,NA,"ULAM","live buds",NA,NA,1,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"10121A",10121,114,NA,NA,"FRPE","live buds",NA,NA,1,NA,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"101222A",101222,10103,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"27",27,"101256A",101256,1074,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"28",28,"101357A",101357,1094,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"29",29,"101362A",101362,1094,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"30",30,"101443A",101443,1077,6.2,7.9,"LITU","lying whole","Log","Log",1,2,3,NA,NA,NA,78.2,76.7,NA,NA,NA,NA,17.1,17.1,NA,NA,NA,NA,"log","log","log",1,2
"31",31,"101445A",101445,1077,6.7,8.9,"NYSY","lying whole","Log","Log",1,1,3,NA,NA,NA,18.1,17.7,NA,NA,NA,NA,9.8,15,NA,NA,NA,NA,"log","log","log",1,2
"32",32,"101467A",101467,1079,8.1,5.2,"ACRU","standing dead","Snag","Log",2,3,4,NA,40.4,20.8,52.7,52.1,51.6,NA,NA,43.2,NA,NA,2,NA,2,NA,"snag","snag","log",2,2
"33",33,"101626A",101626,1085,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,8.1,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"34",34,"101646A",101646,1086,NA,NA,"FRPE","lying whole",NA,NA,1,NA,NA,NA,NA,NA,42.1,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"35",35,"101657A",101657,1086,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"36",36,"101661A",101661,1086,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"37",37,"101664A",101664,1086,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"38",38,"101732A",101732,1095,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"39",39,"101735A",101735,1095,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"40",40,"101761A",101761,1096,2.1,5.3,"ULAM","standing dead","Log",NA,2,3,NA,NA,NA,NA,16.3,15.4,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,"snag","log",NA,2,NA
"41",41,"101777A",101777,1096,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"42",42,"101804A",101804,1097,9.8,1.6,"ULRU","standing dead","Log","Log",2,4,5,NA,NA,NA,36.4,34.3,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"snag","log","log",2,3
"43",43,"101813A",101813,1097,NA,NA,"UNKN","lying whole",NA,NA,3,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"44",44,"101903A",101903,10810,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"45",45,"101911A",101911,101010,NA,NA,"LIBE3","lying whole",NA,NA,3,NA,NA,NA,NA,NA,52.2,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"46",46,"10199A",10199,119,NA,NA,"NYSY","lying broken",NA,NA,2,NA,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"47",47,"10199C",10199,129,NA,NA,"NYSY","lying broken",NA,NA,2,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"48",48,"10199B",10199,129,NA,NA,"NYSY","lying broken",NA,NA,2,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"49",49,"102026A",102026,10910,NA,NA,"PLOC","lying broken",NA,NA,1,NA,NA,NA,NA,NA,74.4,NA,NA,NA,NA,NA,18.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"50",50,"102026B",102026,11102,NA,NA,"PLOC","lying broken",NA,NA,1,NA,NA,NA,NA,NA,36.1,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"51",51,"102128A",102128,10106,NA,NA,"TORA2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,44.7,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"52",52,"102129A",102129,10106,NA,NA,"LIBE3","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"53",53,"10213A",10213,133,7,7.2,"ACRU","standing dead","Log","Log",2,4,5,NA,NA,NA,30.9,30.1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"snag","log","log",2,3
"54",54,"10216A",10216,134,NA,NA,"FRPE","standing dead",NA,NA,2,NA,NA,NA,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"55",55,"10220A",10220,135,6.2,3.6,"UNKN","standing broken","Snag",NA,3,4,NA,16.3,NA,NA,20.7,19.5,16.5,NA,NA,NA,NA,NA,NA,2.5,2,NA,"snag","snag",NA,2,NA
"56",56,"10220B",10220,135,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,16.3,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"57",57,"10277B",10277,129,NA,NA,"COFL2","standing broken",NA,NA,2,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"58",58,"10277A",10277,1310,NA,NA,"COFL2","standing broken",NA,NA,2,NA,NA,5.3,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,"snag",NA,NA,NA,NA
"59",59,"10302A",10302,141,4.7,3.8,"UNKN","standing broken","Snag","Snag",3,4,4,25.3,NA,NA,39.4,39,38.2,38.3,NA,NA,NA,NA,NA,6.1,6.2,NA,"snag","snag","snag",2,2
"60",60,"10302B",10302,141,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"61",61,"10304A",10304,141,3.1,1.5,"PITA","standing dead","Snag","Snag",3,4,3,NA,NA,NA,41,36.8,39.7,40,NA,NA,NA,NA,NA,NA,16.6,NA,"snag","snag","snag",2,2
"62",62,"10312A",10312,142,6.8,5.4,"QURU","standing broken","Snag","Log",3,4,4,24.1,NA,26.5,38,36.8,36,NA,NA,32,NA,NA,6,7.3,6.8,NA,"snag","snag","log",2,2
"63",63,"10312B",10312,142,NA,NA,"QURU","standing broken",NA,NA,3,NA,NA,NA,NA,NA,24.1,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"64",64,"10323A",10323,144,NA,NA,"ULAM","lying whole",NA,NA,2,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"65",65,"10337A",10337,145,NA,NA,"UNKN","stump",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,"10353A",10353,147,NA,NA,"FRPE","standing broken",NA,NA,2,NA,NA,12.1,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,"snag",NA,NA,NA,NA
"67",67,"10353B",10353,147,NA,NA,"FRPE","standing broken",NA,NA,2,NA,NA,NA,NA,NA,12.1,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"68",68,"10384A",10384,149,NA,NA,"ARSP2","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"69",69,"10408A",10408,151,5.6,1.7,"UNKN","standing broken","Snag","Snag",3,4,3,28,NA,NA,30,29.9,28.9,29,NA,NA,NA,NA,NA,4.6,3,NA,"snag","snag","snag",2,2
"70",70,"10408B",10408,151,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,17.1,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"71",71,"10425A",10425,153,NA,NA,"PATO2","lying whole",NA,NA,3,NA,NA,NA,NA,NA,59.3,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"72",72,"10426A",10426,153,NA,NA,"CACA18","live buds",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"10430A",10430,153,NA,NA,"LIST2","live buds",NA,NA,1,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"10453A",10453,155,8.1,8,"UNKN","standing broken","Snag",NA,3,3,NA,27,NA,NA,31.5,29.5,NA,NA,NA,NA,NA,NA,NA,3,2,NA,"snag","snag",NA,2,NA
"75",75,"10453B",10453,155,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"76",76,"10454A",10454,156,NA,NA,"UNKN","stump",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"10455A",10455,156,6.8,3.8,"UNKN","standing broken","Stump",NA,2,NA,NA,NA,NA,NA,13.1,11.5,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,"snag","snag",NA,NA,NA
"78",78,"10470A",10470,159,6,3.8,"LIST2","live buds","Log","Log",1,2,3,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,"log","log",1,2
"79",79,"10509A",10509,1110,9.8,5.8,"COFL2","standing dead","Consumed",NA,2,NA,NA,NA,NA,NA,14.8,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag","consumed",NA,NA,NA
"80",80,"10554A",10554,173,NA,NA,"UNKN","standing broken",NA,NA,2,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,"snag",NA,NA,NA,NA
"81",81,"10555A",10555,173,6.2,2,"QUFA","standing broken","Snag","Snag",1,2,3,38.6,35.5,NA,55.8,56.6,54.7,NA,NA,NA,NA,NA,NA,17,8,NA,"snag","snag","snag",1,2
"82",82,"10555B",10555,173,6.2,2,"QUFA","standing broken","Log","Log",1,3,3,NA,NA,NA,38.6,56.6,NA,NA,NA,NA,10.9,9,NA,NA,NA,NA,"snag","log","log",2,2
"83",83,"10570A",10570,175,7.9,6.3,"ULAM","standing dead","Log",NA,2,4,NA,NA,NA,NA,16.2,14.7,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,"snag","log",NA,2,NA
"84",84,"10572A",10572,175,1.9,7.6,"UNKN","standing broken","Snag","Snag",3,4,4,31.8,NA,NA,39.8,38.9,35.6,35.3,NA,NA,NA,NA,NA,9.1,6.5,NA,"snag","snag","snag",2,2
"85",85,"10572B",10572,175,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,31.8,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"86",86,"10585B",10585,178,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,25.7,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"87",87,"10585A",10585,179,3.4,3.7,"UNKN","standing broken","Snag","Log",3,4,4,25.7,NA,15.3,33.4,43.2,35.7,36.9,NA,29.2,NA,NA,6,13.7,6,NA,"snag","snag","log",2,2
"88",88,"10599B",10599,1710,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"89",89,"10599A",10599,1710,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,16.8,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"snag",NA,NA,NA,NA
"90",90,"10610B",10610,162,NA,NA,"QUERC","standing broken",NA,NA,3,NA,NA,NA,NA,NA,43.3,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"91",91,"10610A",10610,162,8.6,4.4,"QUERC","standing broken","Log","Log",3,4,5,43.3,NA,NA,68.9,70.7,NA,NA,NA,NA,NA,7,NA,15,NA,NA,"snag","log","log",2,3
"92",92,"10627A",10627,164,NA,NA,"LIBE3","standing dead",NA,NA,2,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"93",93,"10628A",10628,164,5,8,"ULAM","standing broken","Stump",NA,3,NA,NA,20.8,NA,NA,24.7,24,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,"snag","snag",NA,NA,NA
"94",94,"10628B",10628,164,NA,NA,"ULAM","standing broken",NA,NA,3,NA,NA,NA,NA,NA,20.8,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"95",95,"10647A",10647,168,NA,NA,"ULAM","live buds",NA,NA,2,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"10656A",10656,169,NA,NA,"CACA18","lying whole",NA,NA,2,NA,NA,NA,NA,NA,35.6,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"97",97,"10688A",10688,149,NA,NA,"ARSP2","standing dead",NA,NA,2,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"98",98,"10801B",10801,191,NA,NA,"FAGR","standing broken",NA,NA,3,NA,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"99",99,"10801A",10801,191,NA,NA,"FAGR","standing broken",NA,NA,3,NA,NA,29.6,NA,NA,36.9,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,"snag",NA,NA,NA,NA
"100",100,"10871A",10871,194,NA,NA,"UNKN","standing broken",NA,NA,3,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,"snag",NA,NA,NA,NA
"101",101,"110022A",110022,1113,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"102",102,"110075A",110075,1117,NA,NA,"CAGL8","standing dead",NA,NA,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"103",103,"110124A",110124,1122,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"104",104,"11014A",11014,184,6.4,2.4,"UNKN","standing dead","Snag","Snag",3,4,4,NA,NA,NA,31.8,31.6,30.8,30.9,NA,NA,NA,NA,NA,NA,5,NA,"snag","snag","snag",2,2
"105",105,"110143A",110143,1123,NA,NA,"CACA18","standing dead",NA,NA,1,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"106",106,"110148A",110148,1124,NA,NA,"LITU","lying whole",NA,NA,3,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"107",107,"11015A",11015,184,1.2,2.3,"NYSY","standing broken","Snag","Log",2,4,4,NA,NA,8,17.6,17,16,NA,NA,13.5,NA,NA,2,4,3,NA,"snag","snag","log",2,2
"108",108,"110165A",110165,1126,NA,NA,"LITU","standing broken",NA,NA,2,NA,NA,9.7,NA,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"109",109,"110165B",110165,1126,NA,NA,"LITU","standing broken",NA,NA,2,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"110",110,"110197A",110197,1127,NA,NA,"CACA18","lying whole",NA,NA,3,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"111",111,"110235A",110235,1133,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"112",112,"110297A",110297,1137,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"113",113,"110301A",110301,1142,NA,NA,"FAGR","standing dead",NA,NA,2,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"114",114,"110353A",110353,1144,NA,NA,"FAGR","standing dead",NA,NA,3,NA,NA,NA,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"115",115,"110398A",110398,1148,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"116",116,"110429A",110429,1139,NA,NA,"CACA18","lying whole",NA,NA,3,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"117",117,"11051A",11051,187,NA,NA,"UNKN","lying whole",NA,NA,3,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"118",118,"110574A",110574,1162,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"119",119,"110580A",110580,1162,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"120",120,"110614F",110614,1129,NA,NA,"CAGL8","standing broken",NA,NA,2,NA,NA,NA,NA,NA,24.6,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"121",121,"110614H",110614,1129,NA,NA,"CAGL8","standing broken",NA,NA,2,NA,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"122",122,"110614A",110614,11110,6.5,2.1,"CAGL8","standing broken","Log","Log",1,2,5,27.3,NA,NA,46.6,46.6,NA,NA,NA,NA,NA,4,NA,18,NA,NA,"snag","log","log",1,3
"123",123,"110614I",110614,1129,NA,NA,"CAGL8","standing broken",NA,NA,2,NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"124",124,"110614B",110614,11110,6.5,2.1,"CAGL8","standing broken","Log","Log",1,3,5,NA,NA,NA,27.3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,"snag","log","log",2,3
"125",125,"110614D",110614,11110,6.5,2.1,"CAGL8","standing broken","Log","Log",1,3,5,NA,NA,NA,25.3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,"snag","log","log",2,3
"126",126,"110614G",110614,1129,NA,NA,"CAGL8","standing broken",NA,NA,2,NA,NA,NA,NA,NA,23.5,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"127",127,"110614C",110614,11110,6.5,2.1,"CAGL8","standing broken","Log","Log",1,3,5,NA,NA,NA,26.2,NA,NA,NA,NA,NA,1.1,1.5,NA,NA,NA,NA,"snag","log","log",2,3
"128",128,"110614E",110614,11110,6.5,2.1,"CAGL8","standing broken","Log","Log",1,3,5,NA,NA,NA,25.2,NA,NA,NA,NA,NA,0.8,2,NA,NA,NA,NA,"snag","log","log",2,3
"129",129,"110623A",110623,11110,NA,NA,"CATO6","standing dead",NA,NA,2,NA,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"130",130,"11064A",11064,188,0.9,1.6,"QUERC","standing broken","Stump",NA,2,NA,NA,9.5,NA,NA,32,32,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"snag","snag",NA,NA,NA
"131",131,"110816A",110816,1153,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"132",132,"110817A",110817,1153,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"133",133,"110818A",110818,1153,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"134",134,"110819A",110819,1153,NA,NA,"CACA18","standing dead",NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"135",135,"110833B",110833,1165,NA,NA,"PRAV","lying broken",NA,NA,1,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"136",136,"110833A",110833,1154,NA,NA,"PRAV","lying broken",NA,NA,1,NA,3,NA,NA,NA,32,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"log",NA,NA,NA,2
"137",137,"110855A",110855,1156,9.4,4.9,"CACA18","standing broken","Log",NA,2,4,NA,8.7,NA,NA,11.6,10.8,NA,NA,NA,NA,NA,2,NA,2,NA,NA,"snag","log",NA,2,NA
"138",138,"110855B",110855,1156,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"139",139,"110867A",110867,1171,NA,NA,"CACA18","lying whole",NA,NA,2,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"140",140,"110881A",110881,1158,0.8,6.3,"UNKN","standing dead","Snag","Snag",2,4,5,NA,69.5,NA,78.5,78.2,73.1,NA,NA,NA,NA,NA,NA,NA,3,NA,"snag","snag","snag",2,3
"141",141,"110947B",110947,1174,NA,NA,"CATO6","standing broken",NA,NA,2,NA,NA,NA,NA,NA,22.3,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"142",142,"110947A",110947,1174,NA,NA,"CATO6","standing broken",NA,NA,2,NA,NA,22.3,NA,NA,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"143",143,"110947D",110947,1184,NA,NA,"CATO6","standing broken",NA,NA,2,NA,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"144",144,"110947C",110947,1174,NA,NA,"CATO6","standing broken",NA,NA,2,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"145",145,"110985A",110985,1177,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"146",146,"111019A",111019,1166,NA,NA,"COFL2","standing dead",NA,NA,2,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"147",147,"111021A",111021,1166,NA,NA,"LITU","lying whole",NA,NA,2,NA,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
